Time,Price,Volume,Returns,Bulls,Bears
2017083010,4524,1609.559026,0.000402461,18506.03785,17521.8623
2017083012,4566.64,890.3966134,0.009425287,18664.72037,17580.03465
2017083014,4561,578.1273918,-0.001235044,18671.09264,17613.69008
2017083016,4583,527.3534456,0.004823504,18600.5945,17611.25583
2017083018,4550,482.1129551,-0.007200524,18554.63631,17570.70039
2017083020,4570,437.8760694,0.004395604,18511.31232,17523.34057
2017083022,4573.2,418.4741255,0.000700219,18602.11698,17568.99409
2017083100,4602.08,365.8982886,0.006315053,18633.04734,17623.67277
2017083102,4615.19,182.8630266,0.002848712,18608.9208,17652.70464
2017083104,4624.04,394.9770613,0.001917581,18461.6597,17654.05057
2017083106,4619.16,796.7660239,-0.001055354,18580.28681,17740.48931
2017083108,4609.99,591.5334768,-0.001985209,18490.55605,17777.26798
2017083110,4687,1073.578153,0.016705025,18219.65162,17742.17598
2017083112,4724.91,1212.131055,0.008088329,18827.89715,18105.49848
2017083114,4718.46,1251.290867,-0.001365105,18801.52778,18219.83001
2017083116,4735,704.871728,0.003505381,18872.19668,18324.6631
2017083118,4719.85,1205.250318,-0.003199578,18823.37548,18377.11572
2017083120,4734.5,436.5378463,0.003103912,18777.08662,18415.4608
2017083122,4734.26,695.7146157,-5.07E-05,18724.13826,18375.76968
2017090100,4771.3,587.133074,0.00782382,18909.62647,18507.07099
2017090102,4745.6,599.4624611,-0.005386373,18767.01533,18520.81597
2017090104,4680,1322.720123,-0.013823331,18670.83109,18323.02391
2017090106,4750,1323.057882,0.014957265,18276.22033,18326.06521
2017090108,4787.06,1097.031571,0.007802105,18412.55634,18415.78922
2017090110,4810,1107.301047,0.004792085,18124.18004,18607.13719
2017090112,4818.66,2167.074082,0.001800416,17543.97141,18705.13908
2017090114,4836.86,1595.254104,0.003776984,17309.87435,18915.82285
2017090116,4844.84,1152.530952,0.001649831,17061.42139,19220.33014
2017090118,4870,2063.270579,0.005193154,16917.66743,18957.46959
2017090120,4863.4,1753.657158,-0.001355236,17354.45171,19399.38592
2017090122,4921.7,599.0366656,0.011987498,17483.65069,19603.12236
2017090200,4960.49,774.6039996,0.007881423,17459.12452,19636.67569
2017090202,4831.01,2149.673737,-0.02610226,17862.55519,19544.24797
2017090204,4644.89,2454.358136,-0.038526105,16142.12315,18462.1591
2017090206,4759.94,1445.871166,0.024769155,16399.71704,18705.73937
2017090208,4688.49,1066.37644,-0.015010693,16328.33332,18380.65809
2017090210,4694.34,1061.65539,0.001247736,16424.45105,18269.08591
2017090212,4631.02,1596.611599,-0.013488584,16713.89415,18120.52315
2017090214,4591.55,2098.360808,-0.00852296,16741.72819,17867.20742
2017090216,4619.02,1465.177705,0.005982729,17624.47497,17913.09802
2017090218,4605.89,896.83169,-0.002842594,17973.19562,17825.05537
2017090220,4499.83,1324.782935,-0.023027037,18185.36472,18110.57083
2017090222,4599.9,643.4900168,0.022238618,18448.66769,17946.82785
2017090300,4638.94,806.8824299,0.008487141,18464.52568,17772.26626
2017090302,4639.42,627.9202207,0.000103472,18075.27585,17752.37251
2017090304,4699.76,773.010287,0.013005936,17295.8124,18084.81136
2017090306,4633.76,710.2678212,-0.01404327,17456.00413,18488.95369
2017090308,4595.34,892.1139479,-0.008291323,17728.05329,18686.71834
2017090310,4573.48,574.1164779,-0.004756993,17874.2608,18183.79281
2017090312,4390,1936.744066,-0.040118247,17799.1412,18028.52984
2017090314,4450.6,1251.109185,0.0138041,18197.16334,18472.91811
2017090316,4518,668.1104787,0.015144026,18153.02595,18779.06725
2017090318,4550,1211.308088,0.00708278,17983.9014,19185.12534
2017090320,4599.98,946.1912256,0.010984615,17905.17342,19412.02777
2017090322,4606.26,827.140328,0.001365223,17715.77523,19795.82303
2017090400,4529.62,869.9185657,-0.016638227,17675.24934,20078.01838
2017090402,4547.87,341.0528655,0.004029036,17664.95894,19993.09402
2017090404,4533.09,386.3922305,-0.003249873,17633.66303,19970.41344
2017090406,4367,2081.323936,-0.036639467,17564.6342,20479.28683
2017090408,4348.52,3716.818715,-0.004231738,18410.48925,20137.72946
2017090410,4288.71,2262.681692,-0.013754105,18949.46631,19938.89072
2017090412,4354,2016.918724,0.015223692,19812.63331,19307.3004
2017090414,4247.55,3765.954587,-0.024448783,19602.21952,18199.26183
2017090416,4066.51,3397.30298,-0.042622218,19620.31041,16640.02243
2017090418,4250.97,3024.346287,0.045360764,20663.23253,16727.60985
2017090420,4367.21,2119.305128,0.027344347,21189.2089,16922.06535
2017090422,4277,1087.10952,-0.020656208,21382.65996,16594.06858
2017090500,4021.98,2606.894892,-0.059625906,20999.10864,15136.73959
2017090502,4102.85,2270.025175,0.020107012,21541.75571,14516.39644
2017090504,4030.05,1780.376892,-0.017743763,20914.55886,14381.11131
2017090506,4193.83,1541.565832,0.040639694,21175.55837,13956.77491
2017090508,4230.59,1681.042092,0.008765258,21309.76379,13928.52312
2017090510,4339,1369.271331,0.025625267,21642.37165,14470.10223
2017090512,4318.58,1995.011612,-0.004706153,21458.38305,14646.15381
2017090514,4246.85,1967.799667,-0.016609626,21137.72148,15158.94173
2017090516,4354.63,1544.88068,0.02537881,20805.74867,15250.49876
2017090518,4412.81,1571.328233,0.013360492,20022.03405,15824.05915
2017090520,4387,1261.317974,-0.005848881,19811.25979,16052.38918
2017090522,4396.52,1294.705314,0.002170048,19335.2812,16257.21873
2017090600,4486.31,1303.92198,0.020422971,19463.63362,17402.33169
2017090602,4471.45,761.7896617,-0.003312299,18603.83881,17640.03055
2017090604,4399.87,897.9240486,-0.01600823,18698.22572,18179.08138
2017090606,4498.67,1843.725647,0.022455209,18796.85008,18219.24764
2017090608,4524.69,2922.292003,0.005783932,17390.1575,18488.94443
2017090610,4579.94,1766.076857,0.012210781,17265.631,19007.88103
2017090612,4553.26,1962.401521,-0.005825404,16947.1289,19556.16047
