P_avg,P_max,P_min,P_poc,P_std,V_avg,V_max,V_min,V_poc,V_std,L
1019.521,1024.94,1012.54,0.012162574,4.04014975,627.574021,1694.640605,301.3063764,2.220191056,413.6353352,0
1019.94,1024.94,1014.31,0.010422182,3.40269501,666.4016237,1694.640605,301.3063764,2.090832583,422.1448539,0
1019.592,1023.5,1014.31,0.009013409,2.98709,681.6458229,1694.640605,301.3063764,2.044073596,417.3745207,0
1020.766,1035.24,1014.31,0.02050421,5.735939718,691.5433711,1793.616087,301.3063764,2.15794088,444.3663703,0
1022.207,1035.24,1014.31,0.020475305,7.169731205,722.0871248,1793.616087,301.3063764,2.066661569,427.6277264,0
1024.929,1041.53,1016.5,0.024421204,8.8164511,765.3216821,1793.616087,301.3063764,1.949911711,418.9411613,0
1028.058,1047.79,1016.73,0.030212303,10.81788211,802.9301572,1793.616087,301.3063764,1.858579725,420.068256,0
1031.406,1056.98,1016.73,0.0390244,13.97161742,815.8325941,1793.616087,301.3063764,1.829186185,413.9849991,0
1035.908,1065,1016.73,0.046596802,16.8396957,842.5629755,1793.616087,301.3063764,1.771155099,429.7184415,0
1042.101,1081.93,1016.73,0.062565913,21.17022461,995.2112502,1907.044097,301.3063764,1.613464197,510.8360304,0
1049.913,1098,1016.73,0.077406414,25.93637002,1186.990333,2219.0972,632.025701,1.337055118,577.0790172,0
1057.148,1098,1021.46,0.07240235,25.74176839,1332.984866,2383.498081,632.025701,1.313947686,678.7463214,0
1067.982,1129.8,1034.47,0.089261804,31.25997078,1568.816312,2990.340154,644.4917055,1.495298354,805.9216403,0
1076.003,1129.8,1034.47,0.088596407,32.20158728,1774.28916,3848.344567,644.4917055,1.805710667,1083.672277,0
1081.556,1129.8,1041.53,0.081613897,28.85798145,1939.914424,3848.344567,696.9353535,1.624509398,1016.284405,0
1088.895,1129.8,1047.79,0.075314883,26.80695277,2003.462868,3848.344567,696.9353535,1.572981094,961.2540886,0
1094.905,1129.8,1056.98,0.066508053,23.03982651,1998.341547,3848.344567,696.9353535,1.577012307,967.4088059,0
1100.846,1129.8,1065,0.058863819,19.57279075,2022.514885,3848.344567,932.2700694,1.441806199,933.7096309,0
1106.374,1129.8,1081.93,0.043267467,15.75860978,1968.682665,3848.344567,647.9983693,1.625628272,1000.412066,0
